corpus,speaker_id,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64
CommonVoice-ES,00a8d7bea16751ba5c3a4840d13381ff96eddb214c965f56822acc0a1627f6260dc7b989dd555fc50dc72b09410aa546079d72436ace70356619dbe7abfa614a,-9.264894,-0.8001429,5.1813774,1.1961982,0.16676448,-2.4057338,-0.34653687,-1.931964,2.751989,1.4266515,2.339235,-1.4737003,0.65473706,3.5804098,-3.5978284,3.7898955,0.80014807,-4.4259233,0.41793156,0.58869165,-0.2424573,-2.7424757,1.4936519,-0.9440623,-4.209633,-3.5804522,-0.19400103,0.9989275,0.2832381,0.009109655,2.0124524,-0.3489374,1.0807,-3.609677,0.050694935,-2.5556402,1.0694371,0.86885834,2.2972004,1.4521129,-3.0551655,-3.9611027,-0.7982379,-0.416404,1.1650808,4.314165,-4.201928,2.015263,-0.4697028,-1.9522232,0.8931796,-0.7579352,0.87663376,-1.684866,2.6108062,1.9523399,-0.29708928,1.5759976,0.089083955,0.0020177034,-1.2632354,2.6120741,0.84845805,0.96364176
CommonVoice-ES,00a9cb17a3893d3035dd4c9069d8b972e4392ab71161fe30605f2f05ccc9e5fe564a25a2c0da8f0cf0b0ca2e8253a59e5df6abeb824cac234873120e96d6e0dc,-5.982928,-2.2336552,1.100942,-0.97858864,0.7116601,0.36087006,0.69685596,1.2595171,5.3151975,1.460874,3.0743003,1.4958743,2.777087,0.9333501,0.35254848,2.9306347,-1.305148,2.4029045,1.4737012,-1.9578681,0.66013795,0.33409613,-6.3733673,1.0135808,2.5601914,-2.0756454,0.9686779,-0.56009084,0.5998004,-0.14204922,1.4412752,1.0462527,-1.5998981,0.5476465,-1.5576195,1.163857,-0.23504463,-0.24735767,0.81536824,2.9983432,-0.007472941,-1.9728775,-2.0222452,1.7788968,-0.536926,0.19533728,-0.93441933,-0.82595223,-0.597008,-1.8256032,-1.2467339,-0.4768016,-1.006045,3.4978065,-0.2575078,-0.08274348,-2.563552,-1.8516428,-0.06128543,-1.2454168,-0.4389656,-1.2097831,-3.073866,1.5319777
CommonVoice-ES,00bb6b0f44bf657628eada4c840796705af780808306252c01b6fb46846005948d8b4fdbf0f5d05f05eef6526687deb5368ee6756b90a841dc87e9b5a7552d26,-5.642047,0.013895332,6.4781365,0.2519367,0.90053093,1.746639,-1.0345285,2.405034,4.958176,2.6754467,7.334577,-0.9434567,3.9922097,-1.9117155,2.047938,-0.4579954,0.33553007,-2.0878441,-3.3954027,-4.9454765,-10.983476,-4.5324636,1.4415572,7.163227,1.3655132,2.3529649,-1.1773611,-1.3356888,-2.7631915,0.47574893,-0.014256546,-0.2504379,-1.6987028,0.34020028,-1.5733004,1.9548658,-0.9562524,3.8219526,-0.45861083,2.5913932,5.1647134,-2.44271,4.1916947,2.0214875,2.8544128,-1.8082286,1.5998589,0.488077,-2.7171535,-0.0014756755,0.7170507,-1.2783289,0.40673175,1.1152431,-2.1228592,-2.906197,0.5631858,2.0811474,2.1316676,-6.7275786,-0.5388031,3.4442372,-1.8594257,-0.6979124
CommonVoice-ES,00bc0869ff2352a5aaa6f5a919aba4f4e6279318b7ecf0103b470c7c8bfd9d3c2636519b665772d242d681bccc0e2fa4f99f49fd264cd2d0438b3fb533185d01,-9.455338,-0.12300408,3.70169,0.5537581,1.989958,-0.60982984,1.7516334,0.809952,-0.016533187,-0.25370276,-0.08069024,2.4703975,-0.9353512,2.974187,-2.8103712,1.7063395,-1.9442074,0.10315844,-2.9950242,2.0666373,1.650551,0.8652323,-1.938481,-0.57812613,-1.4110535,0.18013981,-2.6023154,-0.2713735,3.5561147,-2.6878886,2.8986385,-1.2713418,-1.3179483,-1.4716547,2.258183,-0.026447006,1.4266603,-3.570062,-0.16236953,-2.2616467,0.9845549,-2.4935002,-0.17397445,-0.62640184,-0.29765037,-3.3678594,0.7986531,0.17761894,0.3332279,2.6660461,0.68688583,-0.92618084,4.51106,-0.04113917,-3.576607,-1.3768128,-0.09833928,1.5744337,-5.1567397,-4.590519,2.466181,0.13986817,1.7198361,1.0153375
CommonVoice-ES,00d339ec3b5f9d1c1f0394239600fba24cee31097762daba78e2a51366cbe6b67e28a3746c3a10dbe1b8a33ea7e39be9179bcd35489c5dd969856a59534e2f61,-9.657703,-0.39546615,-3.0387497,0.45220348,2.690609,-1.7310015,-0.07883377,-2.6248136,-2.207737,1.289799,2.323727,3.1837232,0.42494136,-0.29379106,0.5891272,0.29456186,0.73794,0.3671076,0.5625833,-0.2415143,-2.3366365,-3.2479472,1.484307,1.6167551,-0.17976233,-1.5514448,-2.3200753,-2.4875326,-1.7747043,-3.0253203,-2.6788824,-4.0574713,0.6574759,-0.7540119,-0.5933429,2.218167,2.494645,-3.2828166,4.0596213,1.5286894,1.7223032,0.12895623,-2.470963,-1.4738792,-2.2976208,1.8668875,1.7280167,0.30135372,-1.2181243,-1.0035931,-1.7725871,1.911459,0.68254745,-1.1506039,0.37582102,-1.5551968,1.7616692,-0.047275845,1.8071151,2.2228534,0.11799221,-0.76678675,-0.82487,0.7272287
CommonVoice-ES,00f985273f93ebda5e659c9e6414b40001a598ee70cac7ed4ee5bf33c1eca8f500bfcaa582ef45c825d5daa3462ce52a1fd6adf34f17c23ba142b1eb2ae67f55,-8.393517,1.9387065,1.2602341,1.8080716,2.9954796,2.907206,-3.4118001,2.3415017,2.154024,1.1469089,-0.7900818,5.0453515,0.77460927,0.44274545,-0.3713442,-0.60824347,-0.7190368,3.8671982,-1.7936411,-0.73457676,-0.13720703,-1.7240564,1.3359382,0.23268677,-1.0060484,-2.0845993,-1.1621953,1.5768888,3.682762,1.6658524,-4.595419,1.4834892,2.243816,-4.309118,-0.8682041,-0.23689918,2.4823163,0.304005,-2.0038233,2.617106,-1.7233058,1.0268788,-2.0678773,1.8289818,-0.9653123,0.20476393,1.8269494,-1.408543,-1.4188854,-0.26219428,0.120218836,-0.7205422,0.6172588,0.077432945,-2.2780645,0.15435489,-2.0476933,-1.466534,2.9780679,-1.1394495,0.07474718,1.2700527,-0.47500166,-0.22907001
CommonVoice-ES,013241e7ebf74ef8f47e6f5989952083080f2d0c9b743409ec1e51de777ce5319420ed5f829e76ab6462dfba07f5451cfa4fb2db7e9161c5fe81f8ca337600e8,-7.94471,2.9558203,-4.8712244,-1.345787,-1.5629777,0.096536376,-0.035520338,-1.0217841,2.1801298,-1.0956609,1.9715295,-1.3934879,-0.7192923,-0.90620667,1.034684,2.1849082,2.0392616,1.0601022,-3.4869237,1.5892487,-0.3400098,-3.1973588,-2.7145138,-1.6140478,2.3751957,-2.2500012,3.4685194,-0.11861821,3.140966,-0.14858323,1.5495837,-2.8041208,1.8703517,-0.8919071,0.32148233,1.6213439,1.3724432,-2.7210174,0.39474538,1.9723463,-1.7466582,0.30522254,0.92602193,2.298974,1.0969433,-0.7159818,-0.48900875,1.1201968,-0.97400606,3.72249,-4.4397774,2.4939096,-0.7342002,-1.1471113,1.1943486,1.5281078,3.1146805,2.9724174,-1.325419,0.7812879,-2.9841557,-1.9976304,1.3485324,-1.884428
CommonVoice-ES,01339bb3db89135764efa5606d9cf33d53dde1e4b9b4063483bdfb0d5655f71bbb4a8058254d51478f3726f0e2cd3ad8d858db977be85d0e641b1904c509b9ac,-5.455437,-3.891711,2.2844958,2.480126,-2.2432008,3.5683482,0.4447108,0.48020226,4.5739675,0.9288743,-0.083504505,-1.7725943,4.239064,2.4364874,-3.8345652,-1.7500619,-5.055416,3.4365728,-4.1861744,2.3514879,2.4697957,0.3485826,0.28579855,-2.323722,-0.93376476,4.5179014,-3.82349,3.9657438,0.08205798,1.1721023,-2.6776555,-3.2840116,2.5907946,-3.4424908,-5.173257,0.689461,-2.03539,2.6719131,-0.36522567,-3.5193992,-2.5137386,-1.7908914,-3.5886111,0.029158644,2.4227767,1.2898614,2.2801526,-4.199281,-0.91444707,0.09845351,2.6104913,-2.066267,0.02926358,0.9896823,0.08409776,0.40778345,1.5277737,4.439977,-1.1366333,0.921861,3.2464223,0.80545425,3.2158911,1.6880399
CommonVoice-ES,0134a425dfbdd75a77ca734d7601de78eb4c9e016396b0286e1ad70f0514d817d1abc278ef87fe9df12b93add1190812e0fb4f4b2d570c60101810b8a740f785,-9.447313,-0.4211093,4.072346,-1.4366938,2.4070544,2.48538,-1.5889456,1.0796227,1.3460166,3.6335459,1.6075352,-1.8618919,-0.4604075,4.425127,-2.577157,-0.06358778,-2.801923,1.0317061,-0.84209245,-4.412725,-0.035852905,2.687976,-1.8137223,3.0823092,-2.3896887,2.5134451,-3.5176854,-4.053767,-0.37444404,-0.50875884,-1.778342,-2.401977,1.1834278,-7.180762,1.7815351,4.43475,2.2019477,2.9169765,-1.5850518,-2.1178477,1.3250294,-3.5208564,1.757648,-0.363906,-4.0401063,-0.828714,-0.63271725,1.8867532,-1.2121167,3.1164136,-0.70382005,-0.121261984,-0.6656512,-0.7736623,2.8989415,1.7577486,-0.14965723,-1.3505592,-0.39159983,1.2757951,-3.3042946,-0.5974575,-1.2422858,0.4451667
CommonVoice-ES,013bf5bf3fa1524ca01b531b5b38c258809b20e25180e00faea041e5bbcfe82e91dbcd120f0cbd88b3179a21bb2d457d97cc6900f3e50462a116d6362027cc90,-6.1555805,2.2990267,-3.9210455,-1.6967531,-0.07233627,0.68911225,-3.820788,1.6550176,1.728661,0.06413929,2.0031023,0.3517111,-2.052871,-1.7164806,-1.1503247,1.363179,2.7112935,-2.0098543,-0.55840987,1.9483798,1.0714674,-1.6182603,-4.3069706,-2.4438312,-1.7779714,-0.105766706,2.8185384,1.5010012,1.4317695,-1.2759135,1.7826425,3.950505,0.5981333,-0.7606054,-0.9007109,-1.8797587,-0.8893585,-1.3573833,-0.16610956,0.29072988,1.9068658,0.05098083,1.247452,2.8209097,0.63454306,0.12118002,-2.7816973,1.4615397,-0.96613944,-0.028958796,0.0769664,3.6039867,-0.23030718,0.9991268,1.1574469,3.1375513,0.46226165,3.0153406,-0.11468411,0.48028564,0.27260083,-0.6190884,1.7389215,-0.4337363
CommonVoice-ES,0149410ac33c229eadc48ebc9c2ae8f5c259ad299ccf27a70c7e909f0c7bb0546c8febf269606c9d3a733583e4b5faa95207da5ef5be919d627caac5b242423f,-8.079355,1.1256814,-3.2137415,1.324417,2.3474684,-4.921241,0.73431736,1.3393604,-3.4693477,-1.3052821,0.88638455,4.054207,-1.584059,-2.5801146,-2.7927206,-1.8816199,1.5840247,-1.9466668,3.58654,-1.1820444,-1.1012994,1.1857716,1.3754724,-3.1202211,0.23026444,1.4155568,0.63321054,-1.3190914,-4.0672307,-1.5147139,-0.78931874,-1.2306463,-2.53894,0.3108905,-0.22313781,1.749275,0.059324797,-1.2930624,-1.4576315,0.72458833,3.9742608,-1.64322,-0.09717677,-0.21825643,0.885949,0.86585814,0.9253261,1.1256615,-2.9769719,-2.6736825,1.5040169,-0.38380018,0.9355155,-0.68761784,-1.5341967,2.0122726,-1.7767643,-3.0671,0.7479141,1.179981,-0.20505321,1.1715558,-1.7889512,1.9610023
CommonVoice-ES,0149be4e24bf1eb8729ce33ad4b1398717027fe4926079d79e1975d3dc2eaac193de31f91f10eb0853a74fb677200093d433ba2e8ffbc945e6a1cd0aaba16d27,-9.239974,0.36271587,5.58755,-0.384764,-1.7460668,0.6303673,4.3363667,-2.6635091,-2.9684548,1.0812674,0.8167993,2.2831092,-3.626226,1.7083864,-0.53464067,1.5815027,-7.359923,-5.2918854,3.7834537,1.2541375,-0.36878014,3.4247375,-2.0956936,-0.7524579,3.2333987,1.9871975,2.4508696,1.5007955,-1.3198786,-1.478882,-0.604832,1.2344788,0.60211325,-6.021802,2.5928838,-3.0776052,-4.410263,-1.9345591,-0.41778737,0.058143463,-1.4452355,3.1988175,-3.5214548,0.4555709,-3.4070432,-1.3311818,-5.4995427,2.1324813,1.8577677,2.1735213,3.175664,1.7387829,-1.0073868,1.2026255,-1.8731073,-0.2032163,1.9120444,-1.0078611,3.0436523,1.2396778,2.6528876,0.7626316,1.0391742,-0.01103982
CommonVoice-ES,017d548160b9fcf786ec96aa6eaca0befd021f65c29003bb44314351dae4d1ce1b82c401492a607161046f4a1896ff4562cff5a6e33927b77475d58942592879,-7.35697,-1.2349014,2.2213247,-0.19840151,-0.450046,-4.4739103,-0.87622833,2.3094249,-3.915997,0.5863712,3.2149608,1.4711084,-0.66292816,2.435086,-0.27237663,-0.78113306,-2.262506,0.22494364,-1.4065104,-2.2149684,-0.16105966,0.28567436,-0.27037233,0.52815205,-1.5365382,0.728047,-1.6021938,-1.721964,0.35887247,1.1457179,0.619357,3.90336,-0.60675114,0.931622,-1.5668428,-2.258207,-0.7657911,1.8979772,0.51131356,2.85023,-1.8481448,-0.72494066,-2.366139,-0.36105788,0.56025326,-1.1615974,0.38487247,1.4491273,-2.6714795,2.3147223,-1.013499,0.9606544,0.27163467,0.8090523,0.96828675,1.2576126,-2.7591734,1.6014211,-0.6958577,1.5890129,-2.1606965,1.6379073,-3.1011753,-2.2551255
CommonVoice-ES,018b7a1c976d8ee3d9c766ca7ab39ee0e2a25ad86e21c9f05e2d29a0bde861f6802a4b44accc6390a28e63315bd8233ff620a75a1070843efba58239be5e74b3,-6.9066567,-1.3663759,4.260954,2.3049455,-0.88647294,1.382147,0.3522038,-0.23281482,-0.30983746,2.5514164,1.4439328,-0.20422876,3.9604156,4.3516674,-3.0698378,1.8539616,-3.2361104,0.09579327,-2.3866158,-0.5140012,1.5346658,-0.5486429,-7.146011,-3.175987,1.5831312,-1.3013256,-0.34332776,-3.605306,2.0975814,0.030671578,-4.1151776,-1.3168007,1.2429658,0.46063933,1.0786551,-0.839944,0.31415546,0.34885266,-4.965425,-3.0374358,5.251155,2.6658564,0.27461943,1.3877705,-2.306498,-0.09859649,0.79437983,1.0691037,-1.7295326,-1.0224632,2.3482747,-2.3751864,-2.064473,0.7999002,1.5956529,1.4315774,0.7420943,-2.6271865,-0.47442207,-0.07813438,0.32135722,-2.5010324,0.802187,-0.93060476
CommonVoice-ES,019f102420a48f72fd883431da9582ed1b7aba4e6a947b735f5cafdfeab8b572b24e172b95759f6692abcfeae6b317251f47e93fd399b7b05d6491f92bd7406a,-5.5684085,2.8484478,-5.2469196,-1.150134,-2.3413107,1.640312,1.6201376,0.052359913,-0.9227557,-0.5057852,0.9882426,-3.5308478,-0.99275404,-0.9871486,3.450888,-1.665957,-0.38034448,1.1123188,-2.2288435,-0.48066473,-3.2845085,-0.6596429,-1.0346212,-0.33414143,-0.21102516,-1.5638602,-2.4201016,-0.7271766,-0.78810835,-0.4978103,0.47888622,2.3709345,0.32232034,-1.8048869,-1.3130553,0.31534025,1.6343769,-1.0576278,-0.3403293,0.88962525,-1.3397335,0.48633584,0.30794936,0.17547424,1.1670816,0.75536066,0.9015946,0.65874064,-0.8662648,1.6738825,-1.0392059,-1.2855349,0.0125679495,-0.6587601,0.71585673,0.86741996,0.4007821,2.1832316,-0.84810877,-0.06876849,0.85338044,-0.23431882,2.2099373,-0.30366632
CommonVoice-ES,01ba8f41db11739c6dcb60ed69c0f83f2230ed2072dc721fa9dc8cbfeac0a2a57a0f529c517d81a37938b19484ad1d7d954ea0af3305e3781c1a5da977d869a0,-5.580747,2.4170136,-2.7011337,-0.17047563,-0.26990694,-6.6211667,3.350437,2.8149927,-2.8906336,-0.68903583,1.4852594,-1.9272801,1.1498555,-1.9689473,0.2804736,-0.27644444,-2.4230697,-0.604077,-1.6368816,0.8715292,1.8791804,1.591023,-2.81944,0.20537901,1.0538497,0.9553636,1.5376021,0.99032956,1.4300647,1.4552372,0.28769386,2.5128992,-0.07277799,2.3380756,-1.5660048,0.4578149,-0.59039617,1.00311,-3.6411018,2.7124472,-0.39584285,0.5368849,1.221514,-1.4752034,0.9756966,1.4561163,1.5615184,-0.87258124,1.7899262,0.111120515,-0.74702126,-1.0865906,-0.5891396,0.13046044,1.2668027,0.019208832,-1.1278918,0.33892915,-1.0069091,-1.8010894,2.0967302,-0.591901,0.44478834,-0.7543379
CommonVoice-ES,01d55720dcf8d7f42484d4536037ec204aed9baf33d7ca8238f84a66a4e113d6211ee8fddf8a2bc12bba1002792563ccc095d68471449b198f7962df2b3ab7ce,-6.3418975,-4.306856,3.2489376,3.1431575,-1.0720452,-4.301131,0.844368,-0.6976311,2.2033253,-1.4069949,2.073302,0.52367043,2.3527064,1.7537166,-3.3488529,0.1710098,2.0135086,-0.66803044,0.6562377,1.020831,-0.2558598,-0.19707966,1.6795694,2.552306,-2.470574,-0.3418209,-0.44569847,-2.3055184,0.35635048,3.050457,-1.3300606,-2.886302,2.120785,3.88787,1.5275291,0.9672764,0.0029071379,-1.0736005,-0.6491186,-0.86724627,4.234315,-1.2079507,-0.6692982,1.6325855,1.4198412,1.5255044,2.7728863,1.6114538,-1.2451987,0.016319284,0.88808036,0.1400386,1.3683857,0.26403627,1.3660004,-2.859646,-0.81785893,2.9455574,-0.94155365,4.3901796,0.5274045,1.0232615,-1.2035042,1.2724957
